N1,극성,내용
164,0,백신 접종 꼭 해보는 되는 하는 싫은 안 맞는 맞는 죽는 누가 책임지는 저주 돌파 감염 전체 확 진자 퍼센트 데 맞은 의미 없는 백신 갖는 난리
165,0,백신 맞는 후 사망 하는 매일 기사 나오는 겁나서 누가 맞은 백신 백 프로 안전한 입증 하면 이야기 해 좌파 국가
166,0,헐 백신 맞는 코로나 걸리는 되는 안 맞는 걸리는 욕 얻는 되는 백신 선택 사항 아닌 목숨 담보 확률 게임 뛰어든다면 오징어 게임 다른 게
167,0,맞는 안 맞는 자유 아닌 천식 땜 겁나서 백신 안 맞는 있는
168,0,도대체 목숨 내놓은 맞은 하는 걸 강요 하는
169,0,백신 접종 개인 자유 난리 솔직히 차 맞은 하는 차 고생 해서 고민 중이 백신 안 맞은 비난 하지
170,0,차 맞는 주일 움직이지도 못 쓰러진 있는 지금 통증 시달리는 보는 부스터 절대로 안 맞은 거 차 맞는 고생 했으면 정도 부작용 있던 그러려니 차 맞은 죽 수도 있던 공포 주일 간 번 경험 했으면
171,2,백신 맞은 안 맞은 자유 아닌 미 접종 이유 있는 테 고 미접 정 했으면 마녀사냥 하는 게 하지 않은
172,2,백신 접종 개인 선택 백신 맞은 사람 코로나 걸리는 백신 안 맞은 사람 코로나 안 걸린 기도 하는 백신 말 그대로 예방 지 슈퍼 패스 아닌 코로나 백신 죽는 사람 코로나 죽는 사람 많은 대해 서는 입도 뻥 긋 안 하는 뭘 믿고 백신 맞은 강요 하는
173,0,백신 차 맞는 부작용 겪다 보는 부작용 돌연사 할 수 있던 걸 실감 했으면
174,0,나도 차 맞는 알레르기 발견 되는 의사 아낙 필라 시스 올 수 있는 차는 본인 선택 하라 했으면 고민 하는 차 맞은 현재 쇼크 용 주사기 갖는 다니는 별 짓 다해 보는 입장 있는 거 생각 하는 여러 상황 고려 선택 하는 바라는 정말 근거 없는 가짜 뉴스 본인 가두지 마세요 차 접종 후 쇼크 없는 조심한 하는 살아있는 괜찮은 접종 할 수 있는 많은
175,0,백신 의무 화 말 하는
176,0,백신 부작용 대해 사망자 속출 있는 책임지는 아닌 나라 맞은 하지 죽는 모름 하는 손가락질 강요 하는 건 심 보인 지
177,2,다시 말 백신 현재 자유 입니다 강제 성 없는 백신 접종 후 사망 거나 장애 생기는 본인 책임지는 빈 접종 불편한 차별 겪다 본인 선택 겁니다 지금 상황 봤듯이 책임지는 경우 극악 확률 입니다 모든 결과 책임지는 본인 선택 입니다
178,1,만 맞은 나도 맞은 목숨 대단한 내 목숨 하찮냐
179,0,백신 맞은 코로나 걸리는 않은 안 맞은 사람 걸린 말 내 맞은 코로나 안 걸리는 드는 거 아닌 돌파 감염 이니 나오는 백신 코로나 안 걸리는 맞는 게 아닌 걸리는 안 죽는 맞는 거 아닌 남 맞든 말 본인 자유 고 안 맞은 안 맞은 때문 사람 전염 시킨 아닌 돌파 감염 이렇게나 나오는 백신 맞은 전염 된다고 보는 중증 가지 않은 하는 맞은 죽는 남 게 전염 시킨 않은 장렬 전사 영웅
180,0,백신 만들어지는 안정 성 확보 걸리는 거 생각 코로나 생기는 지녀 백신 나오는 맞은 안 걸리는 안 맞은 걸리는 백신 부작용 접종 돌파 감염 많은 백신 안 맞은 그게 논란 된다는 건지 이해한 안감 이기 전 아빠 고 가장이 백신 가볍게 맞는 할 아닌 백신 맞은 그게 효과 퍼센트 있던 누가 확신 할 수 있는
181,2,백신 맞는 안 맞는 개인 자유 맞은 그런 사람 사람 많은 결혼식장 대중 이용 하는 공항 비행기 유튜브 골프 채널 운영 하며 촬영 팀 골프장 휘 젓고 다니는 건 스스로 조심한 할 당연한 처 산지 지금 코로나 회진 접촉 사람 피 해보는 거 아는 가족 검사 백신 맞는 안 맞는 문제 아닌 스스로 조심한 아부 분 망각 했으면 그게 문제
182,2,대부분 사회생활 하는 수 없는 맞는 좋은 맞는 사람 누가 있는 맞은 싫은 사람 감수 안 맞는 강요 하는 건 아닌 듯 안 맞은 사람 조심한 되는
183,0,백신 맞는 코로나 안 걸리는 백신 안 맞더라도 방역 수치 잘 지키는 되는 본인 회사 때문 반 강제 맞은 백신 강요 할 필요한 없는 봄
184,2,백신 의무 아닌 선택 권 여론몰이 하는
185,0,목숨 내놓은 맞은 백신 맞은 게 벼슬 이냐 완장
186,2,떠나는 국민 백신 접종 자유 입니다 강요 해서 안 됨 잘 못 되면 책임지는 지나간 마라 강요 하지 마세요
187,0,똥 백신 인 거 아는 맞은 말 이냐 개인 선택 이지 강제 하지 마라 멋 모르는 백신 맞은 후회 하는 사람 많은
188,0,백신 맞는 석 연 치 않은 급사 사례 현재 신고 건 수많은 건 넘는 기사 보는 지금 건 정도 겠지 나도 차 완료 했지만 부스터 샷 도저히 못 맞은 내 노인도 아닌 지병 없는 정말 재수 없는 코로나 걸리는 감기 지나간 병 방지 하려는 부스터 샷 맞은 목숨 걸어야 코로나 걸리는 죽는 청년 백신 맞은 죽는 청년 쪽 숫자 많은 보는 답 나오는
189,2,나라 가득한 백신 접종 자유 지 의무 아닌 헛소리 작작해라
190,0,백신 목숨 내놓은 맞은 하는 그게 정말 의문
191,2,본인 자유 지
192,2,강요 하지 마세요
193,0,만 죽 수 없는 족 같은 마음 강요 하지 마라
194,2,백신 자유 입니다 괜찮은
195,2,백신 맞은 안 맞은 개인 선택 알아보는 하는 어이없는 건 쇼케이스 백신 차 맞은 사람 만 들어가는
196,0,목숨 내놓은 맞은 마스크 만 잘 쓰는 저녁 허튼 짓 만 안 하면 목숨 내놓은 않은 될 같은
197,0,생계 맞은 놓는 천하 무적 의인 된 거 같은 착각 자랑 올리다니 글 고 백신 차 끝난 않은 되는 차 접종 해보는 정말 접종 된다는 사실 기억 하는 백신 차별 죽는 끌 고 갈 수 있던 사실 차 맞은 지켜볼 아는 지켜볼 겨를 추가 접종 이어진다 병들고 나면 약사 국가 직접 임상실험 쌓인 해잖 하는 면책특권 핑계
198,2,백신 못 맞은 사람 이유 있는 접종 못 하는 경우 대부분 접종 안 하면 사회생활 하는 불편한 게 많은 못 하는 사람 비난 하지 마는 합니다
199,2,뭐라 해서 안 된다 백신 본인 자유 강제 해서 안된 죽은 죽 책임지는 안 지는 상화 본인 생명 본인 책임지는 하는
200,2,강요 말 아주 세 죽는 모름 하는
201,2,게 논란 백신 자유 입니다 코로나 확진된 되는 무 개념 싸 돌아다니는 아닌 백신 안 맞은 게 논란 이냐 고요
202,1,만 생각 했으면 안 맞은 지 사람 하루 명 마주 하는 안 맞는 건 아닌 생각 맞은
203,2,백신 접종 자유 지 비판 선 안 된다 백신 접종 후 사망자 모름 하는 주사 맞는 사망 하면 안 맞은 욕 하는 사람 책임지는
204,0,지가 목숨 내놓은 백신 주사 맞은 남 잔소리 하지 마라 사람 목숨 내놓은 백 신주 안 맞는 싶은 사람 많은 수작 질
205,2,백신 개인 자유 지금 문재인 길들여져 되는 있는
206,0,기사 보는 하루 코로나 걸리는 사람 백신 접종 가는 고 하던 백신 의미 안 걸리는 아닌 같은 나도 수요일 차 맞는 어제 죽는 살아난 안 아픈 맞는 백신 때문 아픈 게 맞는 싶은 잘 생각 판단 맞은
207,0,주사 접종 해도 확진된 되는 창피 접종 안 똑같은 위드 코로나 접종 자도 다량 감염 되는 드 어차피 접종 해도 똑같은 목숨 걸리는 접종 했으면 자랑 하면 접종 해도 걸리는 거
208,0,두 차 맞는 병원 다니는 피 만 뽑고 검사 링거 맞는 고생 해서 백신 싫은 어제 차 맞는 날이었는데 아침 심장 발작 와서 안 맞은 보건소 전화 물어보니 잔 백신 차 맞은 된다 해서 어제 차안 맞은 회사 가치 하는 언니 애 있는 맞은 아깝잖아 소리 하는 때리는 싶은 차 맞는 난 아픈 고생 했으면 지기 책임지는 아닌 맞은 하는 짜증
209,0,백신 맞은 코로나 안 걸리는 이상한 사람 많은 백신 치료받는 백신 맞은 사람 코로나 걸리는 뭐라고 할래 해서 백신 사망 사고 나오는 상황 안 맞은 비난 하는 사람 기적 인 거 백신 맞는 게 코로나 안 걸리는 맞는 거 그냥 원하는 사람 맞는 입 물어주세요 백신 맞은 코로나 안 걸리는 무서운 하는 백신 맞는 당당히 돌아다니는
210,2,탓 하지 않은 그래서도 안 되는
211,0,목숨 내놓은 맞는 이해한 안 가는 목숨 하찮나 그냥 남 맞는 안 맞은 눈치 보 여서 맞은 하신 아닌 맞은 말 맞은 그냥 조용한 있는
212,2,접종 안 사람 선택 이지 강요 하지 마라 접종 죽는 사람 뭘 해주는 수 있는 운 안 좋은 거 하는 미 접종 비난 하는 거 보고 있는 없는 씌팔 백신 안 맞는 마스크 잘 안 쓰는 방역 신경 안 쓰는 사람 비난 받는 게 당연한 미 접 종자 싸잡아 비난 하지 마라도 신경 쓰는 사람 많은 백신 맞은 만능 인 줄 아는 중증 발전 막는 코로나 안 걸리는 게 아닌
213,2,맞든 말 자유 지
214,2,백신 맞는 안 맞는 자유 전염 가족 만남 피해 주지
215,0,백신 맞는 게 책임지는  있는 거 말 방귀
216,2,맞은 사람 맞은 전파 안 시킨 생각 하신 안 맞은 전파 시킨 생각 하신 답답한 정말 코로나 백신 그냥 전파 유무 아닌 감염 시 본인 중증 가는 마느냐 하는 사람 맞는 안 맞는 상관 없는 답답한 증발
217,0,지금 좋은 백신 맞은 찬양 하는 가까운 미래 부스터 샷 맞는 부작용 나도 똑같은 소리 아마 못 할 겁니다 부작용 실제 고생 하신 많은 하루 자율신경계 생리 불순 백혈병 사망 아주 무서운 간단한 생각 하지 개월 뒤 미래 될 수 있는
218,1,백신 안 맞은 좋은 대중 앞 서지 마라
219,0,백신 맞는 대상포진 발생 죽는 살아난 이제 절대 안 맞는
220,0,감기 예방접종 안 했으면 사람 손가락질 하는 지 긍 코로나 감기 째 안 없는 감기 인류 평생 하는 지금 코로나 백신 죽는 사람 늘어난 코로나 감염 되면 항체 생기는 고 주간 격리 하면 끝 시대 코로나 사기 인 거 모르면 백신 맞는 개 죽는
221,2,백신 접종 의무 아닌 개인 선택 권리 나라 국민 의식 이후 진국 못 벗어났다
222,2,기르 기 은근 돌려까지 마라 백신 접종 유무 개인 판단
223,0,목숨 내놓은 맞은 거 면 맞은 마라 목숨 활동 하는 게 우위 인 아이러니 하는
224,2,백신 접종 본인 의사 자유 안 맞은 해서 비난 맞은 해서 안 맞은 사람 비판 할 권리 더욱 없는
225,2,안 맞는 자유 행동 아닌
226,1,각오 안 주사 맞는 사람 있는 내 안 맞은 가족 주변 사람 위험한 까 주사 맞는 거 사회생활 아예 안 집 있던 안 맞은 수도 있지만 않은 맞는 게 옳은
227,2,생각 해보는 명예 아빠 애 접종 할 수도 있지만 애 접종 안 할 수도 있는 국민 프로 접종 했으면 본인 살려고 아는 족 동료 업자 손님 접종 결론 잘한 건 없는 안전한 불감증 하도
228,0,백신 맞은 현명한 백신 맞은 죽 수도 있는 코로나 걸리는 목숨 건짐
229,2,백신 맞는 안 맞는 본인 선택 왈가 왈가 할 문제 아닌 듯 맞은 좋은 안 맞은 본인 선택 이기 존중 해보는 된다고 봄
230,1,자유 남 자유 침해 하지 않은 선 보장 되는 절대 인 아닌 남 감염 시킨 남 안전한 건강한 권리 자유 침해 되는 거 불안한 안 맞는 건 이해한 그로 인한 자유 침해 해도 되는 건 아닌 그럴 거 면 활동 하지 있는 세상 사는 거 확진된 되는 남 감염 시킨 건 괜찮은 게 아닌 세상 사는 건 협조 협력 하지 못 하면 살아있는
231,0,백신 안 맞은 게 논란 지 누가 보는 큰 죄 지은 같은 잘한 선택 이라 생각 창정 인간 이지
232,0,목숨 내놓은 백신 맞은 굳이 충성 필요한 목숨 내놓은
233,0,주위 시선 때문 백신 맞은 백신 맞는 걸 반대 싶은 목숨 걸리는 백신 맞은 하는 도무지 이해한 안 간 맞은 걸리는 안 맞은 걸리는 백신 맞는 운 나쁘면 목숨 잃는 맞는 사람 맞은 말 어처구니없다 맞은 전파 있던 데 사람 도움 된다는지
234,0,주변 차 맞는 날 죽는 가장이 어린 딸 두고 하루아침 인사 못 죽는 다가 하소연 하며 죽는 가장이 살아난 애 생각 해서 안 맞는 죽는 건 상관없는 잘 못 되는 남겨질 어린 때문 민폐 말 하는 사람 인지
235,2,백신 결정 할 문제 임
236,2,백신 무아 고 선택 맞은 걸리는 데
237,0,백신 맞은 안 골리 거 아닌 맞은 안 걸리는 까는 생각 가지 고 있는 모름 맞는 나중 행여 애 학교 얼지도 못 가게 할까 울면 맞은 강요 안 하는 은근 강요 하는 세상 맞은 걸리는 자꾸 강요 하지
238,2,개인 선택 강요 하지 마라
239,2,개인 자유
240,0,백신 맞은 하는 지껄이는 아메바 잇냐 징 글 징글
241,2,백신 접종 결정 문제 개개인 판단 선택 인 데 선택 존중 가는 꼭 내 의견 일치 해보는 선택 존중 하는 게 아닌 싸 잡아서 욕 강요 하는 분위기 안타까운 돌파 감염 나오는 시점 문제 야외 테이블 괜찮은 마스크 안 끼는 대충 걸쳐서 끼는 사람 기침 발열 증상 있는 마트 며 대중 시설 싸 돌아다니는 사람 길 음료 마시는 간식 먹는 담배 피운다고 마스크 안 쓰는 돌아다니는 사람 기본 방역 수칙 신경 쓰는 않은 큰 문제 인 거 아닌
242,2,백신 접종 개인 자유 정치인 일반인 접종 싶은 하는 하는 싫은 안 하는 거 개인 선택 걸 가지 고 접종 하지 않은 비난 하는 건 아닌 보는
243,2,개인 선택
244,0,안 맞은
245,2,백신 맞은 마라 백신 맞는 죽는 누가 아들 책임지는 맞은 마라 개인 자유 아는
246,0,국가 책임지는 안 져주는데 나도 안 맞는 말 지 애가 부작용 생기는 서일 못 하는 되면 누가 책임지는 지 아닌 말 만 하는
247,0,전 끝 안 맞은 생각 지낸 현실 비점 종자 따 시킨 방법 맞은 만들어지는 노래 방식 앞 백신 차 안 맞은 사람 출입 금지 시킬 거 유흥 출입 금지 들어가는 사회생활 못 하는 만드는 버리는 전 당뇨 심한 거기 합병증 심한 미뤄 억지로 목숨 걸 거 백 신 차일 째 접어 들은 무사히 탈 넘어가는 있지만 백신 차가 무서운
248,2,백신 맞든 말 개인 자유 공인 행동 조심한 할 듯 욕먹는다
249,2,백신 접종 온전히 개인 자유 인 맞은 자유 남 피해 끼치는 안 된다 그러는 선 백신 안 맞은 채 많은 사람 모이는 장소 가지 않은 하는 그게 상식 몰상식한
250,2,활동 하는 사람 이면 맞는 게 낫 지 백신 선택 맞은 강요 할 수 없는 건 맞는 백신 믿음 보여 맞는 사람 있는 집 맞은 사람 반 안 맞은 사람 반입 강요 하지도 않은 전혀 분란 일어난 않은 맞은 맞은 말 자고 쪽 강요 해서 안 되는 안 맞는 정당한 건 아닌 활동 하는 사람 되도록 조심한 백신 맞은 라가 아닌 깨문 혐오 정치 인 거 싫어하지만 접종 비 접종 떠나는 남 피해 주지
251,2,우리나라 자유 민주주의 국가 입니다 백신 맞은 권리 스스로 있는 백신 팩트 안전한 코로나 바이러스 면역 있던 사실 알려 주신 당당히 백신 맞은
252,0,백신 맞는 잘 못 돼 면 책임지는 게 없는 누가 마냐 인과성 본인 보고 밝히라는 그런 대책 없는 믿고 맞는
253,2,백신 선택 난리 인 건지 모르는 진짜 대체 뭘 잘 못 했으면
254,2,백신 접종 강요 하는 사람 있는 자유 의사 맡기는
255,2,안 맞는 건 본인 맘 지지 책임지는
256,2,백신 차 맞은 본인 선택 이지 비난 대상 아닌 생각 된 백신 맞은 안 걸리는 아닌 안 맞은 사람 비난 하는 건 아닌 생각 된 다단 코로나 잠잠해진 않은 불안한 상황 이지훈 결혼식 축가 명인 불렀다는데 그럴 필요한 있는 싶은 본인 자유 였던 티브이 단계 대가족 모여 밥 먹는 하는 모습 보여 보이지 않은 건 사실
257,2,오늘 백신 차 완료 했으면 개인 맞은 안 맞은 선택 고 백신 맞는 걸린 안 걸린 백신 안 맞는 걸리는 안 걸리는 개인 몫 그냥 개인 아닌 가족 있는 맞은 솔직히 맘 편한 안 맞는 다는 와이프 다그칠 생각 없는 항상 말 본인 선택 이니
258,0,백신 맞은 면역 저하 감염 개체 된다 지금 국민 프로 백신 맞은 지경 인지 머리 있는 생각 사망자 대부분 요양원 백신 차 접종 들이 다닌 목숨 보장 못 땜 불쌍한 국민 어째 최소한 외국 논문 백신 대해 뭐라고 쓰는 보고 처 맞은 개돼지
259,1,백신 맞는 이유 살려고 맞는 목숨 내놓은 맞은 게 정상 생각 정말 미쳐 돌아가는 백신 코로 나가는 그렇게도 무서운 코로나 걸리는 감기
260,2,개인 자유로운 접근 기 전 선택 문제 마무리 하는 덜 복잡하게 생각 말 들자면 포경수술 했으면 안 했으면 시야 직접 보기 전 그냥 태연하고 사유 우연 하는 시기 노출 된 당사자 성의 멀 둥 멀뚱 양심 책 없는 표정 지 어도 우린 이해한 하는 포경수술 하지 않은 두 눈 직접 목격 굳이 개인 자유 접근 복잡하게 생각 하지 않은 상황 택 문제 만드는 나온 고민 해보는 우린 절로 고개 끄덕이해 되는 소 글 깁니다 죄송
261,0,일찍 죽은 검증 되는 않은 산화 그래핀 기생충 스파이크 바이러스 찍어내는 백신 멈춰 락 천 벌 받을 지금 코로나 확진된 미 접종 아닌 돌파 감염 대부분 면역 제로 되는 서서히 사망 하는 독약 투입 멈추라고 나라 백신 맞는 감염 된 좀비 천지
262,2,맞는 안 맞는 개인 선택 이지 그냥 맞는 선택 해서 맞은 이지 목숨 걸리는 맞은 말 싶은 않은
263,2,백신 맞든 안 맞은 개인 선택 이지 당사자 본인 알아보는 할 백신 맞는 부작용 죽는 누가 책임지는 공산당 아닌 말 많은 모르는
264,2,보기 경 논리 위드 코로나 이지 현실 백신 선택 전 국민 마스크 착용 거리 두기 위드 코로나 전보 필수 입니다 백신 접종 목적 감염 지키는 나아가는 전파 확산 막는 핵심 입니다 백신 효능 부작용 면 콸러 티 실체 신뢰 높은 못 하는 문제 인 겁니다 평 고 개인 건강 문제 감염 민감하고 방역 수 칙 지키는 데 철저할 법 미 접종 이분 화 시킨 언론 주도해 여론몰이 하는 마녀사냥 해서 절대 안 되는
265,2,공산당 하는 짓거리 하는 백신 개인 선택 백신 안 맞은 매장 하는 건 깨문 댓글 부대 하는 짓거리 짓거리 있는 한심한
266,2,까는 백신 자유 다임 창정 까는 새끼 강간 당 문 슬림들 까는 듯
267,2,기자 백신 맞는 안 맞는 개인 신상 이자 자유 굿 기사 쓰는 이유 국민 갈라놓다 기하
268,2,제목 만 보는 저격 줄 백신 목숨 걸리는 맞은 하는 진짜 맞은 싫었다잖아 백신 본인 자유 인 강요 해서 국민 끼리 편 가르는 싸우게 만드는 거 백신 생기는 전 코로나 확진된 만나는 동네 학교 왕따 되는 백신 생기는 고 나니 젠 백신 안 맞은 기적 인 사람 이라 며 욕 받이 되는 왕따 백신 패스 만 드는 감기 같은 코로나 국민 가지 고 편 가르는 놀이 하는 겁
269,2,백신 맞은 죽 수도 있는 게 문제 아닌 백신 맞은 코로나 안 걸리는 게 확실한 증명 되는 백신 안 맞은 사람 코로나 걸리는 남 피해 주는 사는 사회 남 피해 주지 목숨 걸 고서 맞는 게 맞는 나도 맞은 맞은 걸리는 안 맞은 걸리는 데 맞은 중증 가는 걸 막는 거 개인 선택 다중 증 가는 걸 갈 수도 있는 걸 개인 선택 거 걸 비난 술 마시고 담배 피우고 스트레스 받은 세상 먼저 뜨는 거누 군 모르는 남 피 해주는 게 개인 선택
270,0,애 안 맞는 게 맞는 거임
271,2,백신 접종 자유 입니다 딱히 뭘 대단한 잘못 거도 아닌
272,2,강요 거나 비난 할 아닌 듯 죽 수도 있는 선택
273,0,백신 맞는 죽는 누가 책임지는
274,2,백신 맞은 안 맞은 개인 자율 인 선택 백신 맞은 감염 되는 확률 바이러스 덜 퍼뜨릴 수 있는 확률 덜 죽 수 있던 백신 만능 아닌 백신 맞은 죽는 사람 인과성 인정 있는 않은 재난 지 원금 경 활 주는 홍보 하는 데 매표 행위 위 금 권 선거 용이 거 바보 안다 재난 지 원금 백신 맞은 죽는 국민 지원 그게 바람직한
275,2,백신 맞는 안 맞는 개인 자유 지 관섭 많은
276,2,접종 접종 개인 자유 입니다 방역 수 칙 만 잘 지키는 강요 할 수 없는 문제 입니다 잘 못 되면 책임지는 줄 수 없는 때문 방역 수 칙 잘 지키는
277,2,백신 맞는 거 개인 자유 지
278,2,백신 안 맞는 죽은 맞는 죽은 개인 선택 이지 백신 무서우면 맞은 코로나 걸리는 죽는 치료받는 백신 맞는 죽는 반응 생기는 치료받는 목숨 걸리는 맞은 걸 제목 쓸 아닌 맞은 싫은 코로나 걸리는 될 거 아닌
279,2,그만하는 이제 자율 접종 바꿔
280,2,백신 선택 비난 여론몰이 하는
281,2,백신 안 맞은 게 논란 거리 지안 맞은 걸리는 확률 높은 걸리는 백신 미접 종이 해서 비판 대상 보는 게 아이러니 개인 선택 비판 하지 마라 개인 인 사정 비판 하는 건 아닌 보는
282,0,백신 맞은 뒤 돌파 감염 되면 책임지는 중증 부작용 책임지는 그냥 딴 맞은 해서 맞은 뒤 인과성 불확실하다 이유 백신 인한 피해 아닌 하는 질병 관리 본부 누가 믿고 백신 맞은 백신 개인 자유 백신 코로나 사망률 치료받는 효과 있는 모름 만능 아닌 백신 맞은 후 돌파 감염 최선 했지만 걸리는 면죄부 주는 인 듯 데 안 맞는 걸리는 죽는 맞는 걸리는 불쌍한 놈일
283,0,백신 목숨 걸리는 맞는 이상한 세상
284,2,백신 접종 본인 자유 난리 완벽한 잘 지키는 거
285,0,목숨 걸리는 백신 맞은 하는 나라 내 모름 하는 사람 목숨 복불복 인지 백신 접종 률 높은 확 진자 줄 지 않은 있는 글 써 백신 맞은 사람 코로나 비켜가 돌파 간염 대다수
286,0,백신 맞는 죽는 무시 하는 좋은 맞는 백신 맞은 코로나 안 걸리는 아닌 백신 맞는 죽 수도 있는 코로나 걸리는 말 지
287,2,무조건 맞은 강제 하는 건 잘 못 된 내 아는 지인 분 당뇨 혈압 있는 무서운 못 맞은 안 맞은 혹 백신 맞는 잘 못 되면 책임지는 안 져주는 상황 백신 맞는 안 맞는 개인 자유 인 나도 업무 때문 수 맞는 했으면 주변 안 맞는 사람 맞은 얘 긴 못 하는
288,2,자유 지 강제 하지 차별 나쁜 거 라며
289,2,개인 의사 입니다 강요 하지 마
290,1,뭘 목숨 내놓은 맞은 생각 맞은 사람 목숨 내놓은 생 갈림길 있는 사람 많은 백 신 주사 대가 지고 목숨 내놓은 맞은 생각 하는 건 지원
291,0,안 맞는 게 죄 게 국민 의무 아닌 맞은 감염 설명 할래
292,2,백신 접종 개인 선택 입니다 백신 접종 유무 자랑 될 수도 없는 비난 대상 되는 안 되는 부탁 받은 축하 하러 간 결혼식 확진된 되는 안타까운 하객 참석 하신 분 검사 받은 괜찮은 좋은
293,2,강요 백신 맞는 사망 하면 거 책임지는 줄 개인 선택
294,2,백신 맞은 안 맞은 본인 자유 뭐라고 할 자격 없는
295,2,백신 접종 개인 선택 부작용 발생 해도 나라 책임지는 않은 말 필요한 국가 책임지는 않은 거 면 차별 하지 마라
296,2,개인 선택 이지 백신 맞는 안 맞은 떠드는 대냐 사람 아닌 맘 이지 가지 고 비난 하는 마니아
297,0,잘못 맞은 목숨 날아가도 보상 못 받던 데 뭘 믿고 맞은 되는 이분 욕 하는 대께 들은 죽는 이해한 못 하는 난 분 마음
298,2,민주 국가 백신 맞든 안 맞든 개인 사정 가십 거리 빨갱이 답
299,2,백신 안 맞은 걸리는 넘어지지 마라 백신 자유 난 차 맞은 안 맞은 사람 강요 할 수 있는 부분 아닌
300,0,백신 맞는 무릎 아픈 병원 다니는 우울증 생기는 게 생기는 무릎 저리 고 아픈 걷기 힘든 원래 안 좋은 병원 그러는 평생 아픈 불편한 본 처음 맞은 거 같은 후회 입니다
301,2,백신 맞든 말 개인 자유 지 누가 강요 누가 비판 할 수 있는 백신 맞은 코로나 안 걸리는 백신 맞은 사람 차 감염 안 시킨 백신 안 맞은 사람 차 감염 시킨 코로나 강해지냐 지금 코로나 백신 증도 낮추는 이지 이하 아닌 않은 백신 맞은 안전한 줄 알 고 술 마시고 싸 돌아다니는 애 꼴불견 지니 마스크 잘 쓰는 사적 모임 안 가지 고 안 싸 돌아다니는 코로나 걸리는 일도 없는 기본 인 거 못 사람 꺼 내리는 바쁜 코로나 없는 리가 있는
302,2,전 세계 맞는 백신 그냥 맞은 싫은 맞은 마
303,2,안 맞은 수도 있는 개인 자유 아기 부모님 맞은 무서운 수 목숨 걸어야 하는 죽은 나라 인정 해주는 아닌
304,2,백신 목숨 내놓은 맞는 걸 강요 하는 선택 입니다
305,2,오버 하지 말 목숨 걸어주 접 때리는 소리 그만하는 지가 안 맞는 싶은 안 맞는 자유 안 맞은 인간 욕 하는 자유
306,2,국가 적극 권장 했으면 의무 아닌 안 맞은 범법 취급 아닌 개인 선택 사항 입니다 코로나 걸리는 싶은 확진된 된 사람 아무렇게나 없는 방역 지친 어긴 내용 있는 그것 비난 하면 되는 나라 백신 접종 적극 권장 하는 여론몰이 개인 비난 해서 안 되는
307,2,백신 선택 이라 안 맞은 게 잘못 아닌 듯 개인 사유 있는 듯 합니다
308,2,대한민국 자유 민주주의 국가 임 자유 잃는 건 한순간 다시 자유 찾는 건 어려운 지금 누리는 감사한 지키는 하는 백신 맞든 안 맞든 자유 임 목숨 내놓은 맞은 건 위험한 걸 인정 반증 죽는 누가 책임지는 지금 아무렇게나 책임지는 안 지는 데
309,2,백신 자유 코로나 걸리는 수 있는 비난 하지 접종 해도 단체 확 진되 던 데 서로 비난 어차피 코로나 걸리는 프로 무증상 금방 회복 되는 백신 목숨 걸리는 맞는 게 위험한 전 세계 양심 가진 의사 얘기 합니다
310,0,어째 구안 맞은
311,2,백신 맞는 아픈 사망 하면 책임지는 회피 개인 선택 부정 보는 냄비 근성 일본 식민지 조선인 백신 접종 해도 코로나 걸리는 거린 다물 백신
312,0,내 목숨 내 지키는 백신 안 맞는 방역 수칙 잘 지키는 안 걸리는
313,2,개인 맞든 안 맞든
314,1,맞은 맞은
315,2,맞든 말 본인 선택 질병 청운 거 때문 백신 접종 더욱 강제 시킨 생기는
316,0,솔직히 국민 대부분 반 강제 백신 맞은 거 아닌 나도 백신 안 맞는 잘 버티는 백신 패스 어째 고 해서 진짜 목숨 걸리는 그냥 접종 완료 했으면 접종 위드 코로나 결론 그냥 나라 보이는 위 접종 률 쇼 였던 그냥 안 맞은 잘 살아있는 거
317,2,백신 맞는 안 맞는 본인 선택 남 피해 주지 마는 함
318,0,선진국 백신 맞은 사람 걸리는 설명 할 그냥 코 걸면 코걸이 귀어 걸면 귀걸이 백신 타령 그만하는 백신 부작용 만 많은 만 현명한 사람 안 맞는 게 좋은 거 판명 난 지 미국 불공정 거래 계약 해서 대한민국 정책 상 강제 맞추는 하려는 노력 중인 거안 보는 뻔한
319,2,말 안 되는 글 적지 마세요 백신 맞은 죽는 사람 코로나 많은 수가 있는 미국 만 보는 하루 평균 시망 천명 정도 만 명 코로나 죽는 유럽 죽는 세계 가장 자유로운 나라 인 미국 항공사 직원 백신 맞은 않은 사표 쓰는 하는 맞는 안 맞는 본인 자유 안 맞은 오는 책임지는 본인 책임지는
320,2,개인 선택 이지 내 창정 이어도 안 맞은
321,2,백신 맞는 안 맞는 개인 판단 하는 거 백신 맞는 부작용 생기는 면 책임지는 안 지는데 남 말 하는 사장 있는 거
322,0,백신 처 맞는 효과 있는 검증 되는 사람 죽는 건 거짓 안 맞은 수 있는 안 맞는 게 최선 관련 업무 땜 맞은 분 심심한 위로 드리는
