내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
코로나 걸리는 치명 률 백신 맞는 죽 확률 배 쯤 백신 맞는 죽 확률 코로나 걸리는 죽 확률 배 사실 안 말 해주 질병 관리 청 통계 보고 단순 계산 만 해도 나오는 데,37.07의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
도주 째 어지러움 안 없어져 요담 주 이러면 병원 의뢰 써준다는 데 한번 찍으면 만 원 피 검사 검사 비 나올지 걱정 검사 받아도 없는 하는,34.08의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
상황 가장 이득 보는 사람 의심스러운 하는 게 맞는 거 같은 제약 사겠지,34.86의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
진짜 랜덤 인 같은 그냥 무서움 건강했던 젊은 사람 갑자기 죽었는데 나도 모르는 선택 해서 죽는 기관 책임지는 안 진대,33.91의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 걸리는 명 나이 많은 사람 원래 몸 안 좋았던 사람 고 백신 멀쩡하던 사람 죽는 기 계산 안 맞네,35.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 아닌 백신 전쟁,33.79의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 맞은 않은 사이 사망 위험한 따지려면 코로나 걸리는 확률 코로나 사망률 곱 해서 값 내야 되는 거 아닌 코로나 걸리는 걸 가정 따지면 당연한 코로나 사망률 높은 사람 백신 맞는 꺼리는 이유 코로나 걸리는 거기 중증 이어질 확률 백신 맞는 중증 이어질 확률 별반 차이 없는 생각 하는 걸,37.73의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 사망률 아닌 중증 부작용 률 보는 퍼센트 확 올라갈 유리한 대로 만 펙트 비교 질,33.75의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 생각 하는 백신 같은 전 세계 피 해본 사람 많은 공개 하지 않은 더욱 의심스러운 무셔 워,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
우리나라 비롯 전 세계 감염 교수 질병 관리 본부 관계자 묻고 싶은 정말 백신 접종 하고서 접종 줄기차게 권고 하는 묻고 싶은,34.51의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
날짜 되는 예약 했으면 보는 맞는 게 맞는 건지 대책 안 서네요,34.28의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞는 건 자유 생각 합니다 안 맞는다고도 비난 할 필요한 없는 접종 유가 국민 위 해서라고 하신 분 있는 문제 생기는 면 희생 생각 하신 겁 욕 할 않습니까 백신 접종 지고 탄압 안 했으면 합니다 욕 할 필요한 없고요,37.98의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
살 고 싶은 만큼 대단한 좋은 세상 아닌 그냥 맞은 죽는 전 고국 여행 죽으려고요,33.95의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
솔직히 검증 되는 않은 부분 현재 백신 자체 임상실험 아닙니까 틀린 말 아닌 충분한 일리 있는 표현,33.93의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
박신 맞는 고통 받는 많은 백신 맞는 고통 받고 있는 이웃 많은 짪 제대로 안정 되는 않은데 건강한 살다가 백신 맞은 생명 잃는 사례 많은 불 해서 반대 두려운 많은 게 사실 입니다 지인 박 신부 작용 흔하게 많은 없는 생명 맥 죽는 순 없는,37.49의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 절대 강제 하면 안 된다,33.89의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 접종 사망자 수 계산 할 분모 차 접종 수로 사망자 명 차 접종 마친 완전한 접종 들이니깐 분모 완전한 접종 수로 나눠야죠 통계 기본 모르는 사람 작성 했거나 실수 식이 면 의도 분모 키워서 퍼센트 낮추려는 안 보여요,34.74의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
차 백신 접종 후 통증 나타났고 발열 가슴 답답함 일주일 간 극심한 두통 힘든 몸살 심한 온몸 힘 없는 일상생활 버거웠습니다 타이레놀 통 가까운 먹었습니다 오늘 방금 차 접종 맞은 백신 맞은 지 분 경과 왼 팔이 저리 고 팔목 통증 아플지 무서운 며칠 뒤 후기 남길게 맞은 지시 간 후 되는 왼 통증 손목 내려왔고 만 움직여도 왼 통증 심한 와서 힘든 지금 통증 심한 왼 힘 없는 내일 통증 심한 병원 번 가야 될 거 같은 두통 심한 살려고 맞은 백신 맞는 의심스러운 될 정도 입니다 무사히 백신 맞은 바라는,36.08의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞는 나서 죽을지도 모르는 죽는 않기를 기도 불안한 할 거 면 안 맞는 게 맞은 맞은 사람 맞은 맞은 안 맞은 선택 이니 선택 하던 욕 하지 안 맞는 맞은 욕 하는 건 못 배운 거리 내는 거,36.28의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
개인 견 남겨 보는 코로나 증상 목 감기 유사하지만 독감 전파 율도 높은 사망률 높습니다 마스크 쓰는 환경 포함 주변 병원 감기 환자 급격히 줄어들었지만 반면 코로나 델타 변 마스크 환경 급격히 확산 되는 걸 보는 분명 코로나 감기 전파 강합니 백신 개인 생각 고령자 접종 대미 선택 사항 돌렸으면 합니다 대미 코로나 사망률 안된 대미 걸리는 전파 백신 접종 이상은 중증률 사망률 낮으니 큰 영향 없으리라 보는,34.58의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백화점 식당가 홀 담당 하는 직원 이라 손님 대면 고 해서 직원 백신 무조건 맞은 강요 눈치 줍니다 애가 인 엄마 혹 잘 못 되는 백신 안 맞는 있는 백신 안 맞은 코로나 걸리는 되는 백화점 문 닫는 거제 책임지는 지나간 마스크 잘 쓰는 소독 잘 있지만 불안합니다,39.28의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
진짜 없는 응급실 가는 백신 접종 후 통증 호소 오는 사람 많은 본 기다리는 입원 하는 게 현실 진절머리 난다,35.3의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 나중 후유증 심각합니다 맞은 마는 합니다,35.06의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
고이 백신 맞은 오한 복통 근육통 호흡 곤란 두통 인 후통 번 왔던 그냥 침대 누워만 있는 진짜 죽 듯이 아팠어요,34.58의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
어용 진짜 양심 있는 의사 부르세요 의료인 연합 입장 건 방송 안 나오는 늘 부르는 어용 의사 얘기 만 듣는 다양한 의견 수렴 방송 내보내야 민주주의 고 언론 역할 입니다,34.08의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
질문 있는 백신 맞은 전 확진된 백 명 나오는 현 백신 맞은 사람 프로 넘는데 확 진자 천 명 넘어 나오는 이유 뭘 까는,36.0의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞은 코로나 걸리는 만 조심하면 되는 백신 맞은 백신 부작용 걱정 코로나 걸리는 부작용 확률 높아짐 딸도 며칠 전 차 맞는 호흡 곤란 어제 응급실 가는 왔던 의사 정상 애 호흡 곤란 호소 미치겠네요 고등학교 기간 정해 맞은 해서 맞은 거 차는 누가 안 맞 힐 겁니다 백신 접종 률 높이려고 국민 눈 가린다는 생각 입니다,38.61의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 비율 사망자 비율 만 계산 하면 안 되는 전체 인구 대비 확 진자 비율 보는 합니다 인과성 성인 정도 안 해주는 사망자 적다고 하면 의미 없는 죽는 문제 아닌 부작용 문제 부작용 비율 코로나 확진된 비율 비교 해보는 맞죠,34.27의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
팩트 만 짚고 갑시다 백신 코로나 걸리는 살려고 맞는 거 아닙니까 맞는 죽는다는 거 자체 문제 큰 문제 아닌 듯이 전문가 말 하면 어쩌자 건지,35.88의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
식구 고령 어머니 괜찮은 고혈압 당뇨 약 먹는 있는 아무렇게나 없는 모던 화이자 좋은 같은,34.13의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
기 질환 있는 하루 살 수 있는 백신 맞는 죽 수도 있는 거 잖아요,35.52의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
뷰 스터 샷 개월 마다 맞는 바라는 코로나 감기 예방 해보는,34.18의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 걸리기 싫은 주사 맞은 죽는 개 억울할 듯,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 죽 확률 백신 맞은 죽 확률 비교 하신 분 있는 데 비교 대상 자체 잘 못 되었어요 두 대상 같은 상황 죽는 확률 전제 비교 서로 공통점 있는 하는 때문 코로나 바이러스 죽 확률 메르스 바이러스 죽 확률 바이러스 공통점 드는 볼 수가 있는 바이러스 백신 죽 확률 로만 비교 하신 서로 비교 대상 될 수가 없는 단순히 코로나 죽 확률 만 계산 하는 게 아닌 코로나 걸리는 확률 계산 하셔 야합니다,37.55의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
솔직히 백신 안 맞은 그냥 죽는 않은 사람 인과성 없다고만 하면 끝나는 거임 사람 죽는,37.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
걸리는 삼상 실험 거쳐야 나오는 백신 시급 성 고려 해서 제대로 검증 되는 않은 백신 승인 되는 나오는 문제,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
양 병원 계시던 외할머니 접종 이틀 후 돌아가셨어요 나이 대비 체력 좋으셨지만 어차피 기 질환 있으셔서,34.12의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞는 죽는 사람 백신 접종 사망자 인정 안 코로나 걸리는 사람 기 질환 유무 인과성 검증 코로나 사망자 말 하는 자체 어이없는 말 입니다 정말 국민 바보 보는 독감 낮은 치명 률 가진 코로나 국민 공포 몰아 넣는 옳은 입,38.94의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 유 증격는 분과 사망자 보상 해보는 합니다 하루하루 살기 힘든 상황 후유증 사망 시인 관계 본인 책임지는 합 코로나 사망자 인과성 관계 인정이 명 말 됩니까,33.76의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
괴벨스 통계 자체 해석 자의 의도 지배 아래 있는,34.33의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
뉴스 공공 적이네요 피해 없는 하는 게 백신 아닌 최소 화 목적,34.01의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
질병 관리 청 우리나라 코로나 발병 연월 연월일 명 사망 했고 기 질환 순수 코로나 사망 사람 명 밝혔습니다,34.2의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
애초 안정화 되는 않은 걸 독감 주사 맞은 하는 멀쩡했던 사람 주사 맞는 봉변 당 누가 책임지는 그냥 방역 수 칙 잘 지키는 싸 돌아다니는 않은 게 답 이지,35.68의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 안 맞은 들자 유지 만 유흥업소 쳐가 고 술 처마 시 걸리는 남 피해 주지 말,36.5의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
오늘 차 맞는 왔지만 난 백신 접종 의무 화 아닌 본 선택 자유 없는 소용 선택 심사숙고 해서 잘 결정 하신,35.14의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
접종 때문 숨져도 인과성 없는 축하 고 책임지는 회피 백신 접종 거부 합니다 차 이자 맞는 피부병 멍 드는 고생,34.9의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
자유 잃지 백신 맞은 필요한 없는 정체 불명 약물 뿐입니다,34.3의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그냥 이왕이면 안 맞는 게 좋은 코로 바이러스 돌연변이 일어나고 백신 맞은 해도 변 바이러스 나타나면 그냥 걸리는 겁니다 치사 율 매우 낮은 편 속 전염 성은 높아서 종식 불가능 가깝습니다 그냥 감기 독감 평생 안고 가야 합니다,37.74의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
내일 차 접종 신랑 예약 했으면 어제 겁 나고 긴장 되는 맞는 나서 생기는 봐요 고 아토피 두드러기 잘 생기는 아들 고민 고민 차 맞히고 탈 없는 차 맞혔는데 별 탈 없는 안 심했어요 월요일 날 딸아이 차 접종 무사히 마쳤고요 만 접종 하면 되는 무지 걱정 되는,34.51의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞는 무조건 자유로운 해보는 모든 걸 통제 주관 하는 의료인 해보는,35.67의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
엄마 의료인 이라 맞은 더한 테 맞은 말 하던 진짜 안 할 수 없는 꺼려지고,34.36의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 성인 성 것 건 설득 없는 아닌 책임지는 않는다는,34.46의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞은 싫은 사람 그냥 안 맞은 되는 거임 맞은 사람 맞은 사람 불안감 만 조성 시킨 마라,34.49의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
이재 갑 나오는 순간 신뢰 상실함,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
중요한 게 백신 장기 부작용 아무렇게나 모른다는 사실 무서운,33.88의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사망 하는 기준 하는 식물인간 예전 돌아가지 못 하는 사람 기준 해보는 되는 누가 치명 아니다는 보보 차이 입니다 걱정 되면 굳이 백신 맞은 마세요,35.36의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
회사 임산부 백신 맞은 권유 하던 데,34.75의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 치명 률 사망 확률 계산 하려면 코로나 걸리는 확률 곱 해보는 코로나 걸리는 사망 하는 거 건강한 백신 맞은 죽는 거 확률 계산 하면 어떡함,37.14의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 죽 뻔한 차례 넘김 주위 많은,34.48의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
담 주 예약 돼 있는 맞은 되는 마는 되는 진짜 맞은 말까,34.47의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
사망률 때문 통제 하는 이상하다,33.75의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 부작용 자비 코로나 감염 치료받는 국가 부담,33.61의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
확률 낮아도 내 죽는 확률 의미 없는 백신 접종 권장 해보는 될 긴 접근 해보는 되는 포인트 잘못 짚고 있는 게 아닌 싶은,35.07의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
얼굴 다리 마비 고 심장 압박 고열 와서 응급실 입원 응급실 다시 큰 병원 급하게 옮겨야 하는 해서 앰뷸런스 옮김 심장 결정 체 있던 밝혀져 입원 했네요 정말 죽는 줄 알았다니 백신 성분 들어있는지 성분 국민 죽 아픈 하는 국민 대상 확실하지 않은 백신 시험 걸치지 않은 국민 대상 시험 합니다 강요 하는 의심스럽습니다,34.17의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
부작용 생기는 면 나라 도움 주세요 발,34.56의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
팩트 맞는 말,34.57의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
위급할수록 무능함이 잘 나타나지,34.99의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
건강한 사람 백신 맞는 죽었는데 인과성 없는 하는 자못 회피,35.34의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 걸려가지고 의료 혜택 보는 게 나은 편일 듯 하는 백신 맞는 죽는 확률 크면 코로나 걸리는 게 나을 듯,36.06의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 어차피 맞은 되는 접종 후 사망률 극복 해보는 되는 만 코로나 지금 난방 역 수칙 잘 지키는 행동 했고 걸리는 확률 없는 거 코로나 사망률 극복 해보는 될 필요한 없는 거 잖아,37.46의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
의사 의견 두 종류 진리 추구 양심 거부 해외 양심선언 의과 학자 코로나 진실 방송 나오는 의사 분만 모르는,34.58의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞는 죽는 사람 명 코로나 확 진자 사망자 명,34.23의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 유효 기간 개월 이라 던데 맞은 마다 죽는 거 아닌 걱정 해보는 그냥 안 맞는 운동 면역 키우고 마스크 잘 챙기는 쓰는 게 좋은 듯 어려운 세상,38.13의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞은 애 명 안 마칠 절대 절대 절대 절대 게 인지 알 고 맞추냐 억지 강요 맞췄다가 어린 애 천사 되면 누가 책임지는 거 난 절대 절대 절대 안 맞은 안 맞혀,36.13의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
통계 율 진실했으면 보도 신뢰,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 안 맞은 사람 코로나 걸리는 치료받는 해주지 마세요 현 캐나다 공무원 관공서 하는 사람 백신 안 맞은 해직 입니다 한국 그러기로 바라는,39.27의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
취업 해야는데 백신 접종 물어보는데 하어 가해야 하는 백신 맞은 싫은 데,36.39의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
젊은 해득 불쌍하다 걸리는 사망 하지 않은 코로나 피 하는 백신 맞는 사망 하는,37.02의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
주위 코로나 걸리는 사람 멀쩡히 나았다 유아 포함 해서 주위 백신 맞는 돌아가는 분 많은 친척 포함 후유증 시달리는 사람 많은 건강히 버티다가도 나중 백신 인한 질병 유발 되는 사망 될 인과성 높은 보인 다자 연적 치유 된 사람 많은 백신 접종 항체 검사 해서 항체 없는 사람 한에 지원 자만 접종 해보는 접종 나서도 설문지 주는 게임 새 실험 테스트 용 설문 지지 강제 전 세계 이러는 게 이상하 다세 상 강제 접종 있었는가 사망자 언론 잘 나오지도 않은 집계 잘 안된 안 맞은 사람 편 가르는 제도 화 시킨 가두리 양식 듯 통제 용 쓰이고 있던 보인다,38.55의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞는 건 자유 안 맞는 사람 전염 시키니 문제 지 맞은 걱정 안 맞은 걱정 차 맞는 없는 차 맞는 차 맞는 문제 있는 보류 하는 건 어떨까 목숨 달린 쉽게 생각 할 수 있는 분명 아닌 뉴스 맞은 맞은 하는 거 진짜 뉴스 내용 당 최 믿음 수가 있는,38.1의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
접종 죽는 건 자연 사망 고 팩트 하는 전문가 저런 얘기 하는 욕 나오는 현실 입니다,34.08의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
모든 본인 선택 대신 걸리는 가족 남 피해 주지 마라 인간,34.08의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
상도 안 백신 맞는 지금 괜찬 타고 안심 하는 건 생각 짧은 지켜봐야지요 백신 개발 기간 이겠습니까,36.32의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 감염 숨진 사람 별로 없는 백신 사망자 넘쳐나네요 코로나 전쟁 아닌 백신 전쟁 바이러스 영화 생각납니다 바이러스 인해 무자비한 백신 남발 인류 멸종 된 영화,34.14의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
한국 언론 질병 청운 가짜 뉴스 하지 말라,34.01의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
댓글 다는 거 대강 보는 뉴스 내용 완전한 다르네 뉴스 맞은 된다 댓글 부작용 염려 된 맞는 심장 쪽 문제 있던 글 많은 전 맞은 하는 맞은 이제 부작용 경험 사례 늘면서 백신 조심한 쪽 무게 쏠리는 감,36.08의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
사망자 명 억울했으면 청와대 청원 사람 만도 따,34.43의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 접종 체계 정립 미흡한 거 같은 불안한 투입 사망 해도 인과성 없는 멀쩡한 사람 사망 하는 거 보는 두려운,35.83의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
지인 백신 맞는 구급차 실려가서 이틀 퇴원 하긴 했으면 토 싸고 나중 먹는 없는 물 토 심 병원 백신 탓 아닌 발뺌 지금 나으셨는데 그런 걸 지켜볼 나니 난 백신 못 맞은 분 돌아가시는 줄 알았음,34.78의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
기 질환 애 어려서 물 못 마시는데 백신 맞은 잘 못 되면 애 봐줄 사람 없는 생각 망설여진 백신 맞은 되는 맞는 게 당연한 거 망설여진다,38.02의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
회사 친한 형님 코로나 걸리는 사망 술 마셨던 백신 안 맞은 사람 두 분 환자 실 오늘 내일 함백산 맞은 분 격리 끝나는 음성 나오는 회사 복귀 내 직접 두 눈 본 팩트,37.24의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 보나 백신 무섭네 맞는 건 아닐 듯 중단 백신 사람 잡는다,34.76의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
저런 숫자 중요한 게 아닌 건강하던 사람 예방접종 후 사망 하는 게 문제 지,34.28의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
독감 주사 안 맞는 맞는 개인 선택 해온 백신 마찬가지 맞은 땐 대통령 각서 쓰는 맞은 하는 백신 맞는 후유증 크거나 죽었을 경우 보상금 억 줘야 내용 각서 쓰는 맞은 하는 세월호 보상금 억 이었으니까 세월호 정권 무관 사고였어도 보상 했지만 백신 정권 권하는 책임지는 백신 맞는 평생 환자 살거나 죽는다거나 했으면 땐 보상 각서 쓰는 건 기본 인권,35.96의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 접종 후 사망자 적은 숫 잔는 아닌 생각 되는 인과성 없는 이유 부정 말 안 된다고 봄 인과성 관계 없는 게 아닌 백신 명확한 기전 모르니 인과성 밝힘 기 어렵고 모르는 거 생각 됨,37.04의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 접종 후 사망자 소 수라 코로나 걸리는 사람 따지면 소수 잖아요 그렇죠 걸리는 해도 건강한 사람 모르는 자연 완치 되는 경우 있는 소수 부작용 사망 할 수도 있는 급 조 된 불확실한 백신 접종 확률 상 위험한 게 아닌지요,36.83의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 접종 후 사망 사람 명중 인 과정 인정받은 명 제외 남은 명 원래 자연 돌연 사할 거 였던 하필 타이밍 백신 접종 시기하고 겹친,34.68의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
사망자 명 백신 맞는 며칠 돌아가는 억울하게 다다 기 질환 탓 하는 말 안 된다 진짜,37.48의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
어쨋든 백신 맞는 죽 수도 있던 거 잖아 확률 낮아도 그게 재수 없는 나일 수도 있는 부작용 그렇고,34.96의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
뭐건 사람 죽었잖아 사람 의무 코로나 안 걸리는 맞은 건 죽는 버리면 가족 어째 겠어진 짜 무책임하게 얘기 하는 거 진짜 싫은,37.45의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
접종 사망률 확 진자 사망률 비교 하는 통계 왜곡 심각한 수준 정말 몰라서 그러는지 대변 하려는 의도 그러는지 모르겠지만 공적 기관 수준 의심스럽습니다 통계 비교 하는 자체 말 되는 않은 논리 꼭 따져 보고 싶다면 접종 접종 인한 사망률 비 접종 코로나 인한 사망률 하는 게 합당 하지 않은가요,34.3의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 사망 병 백신 접종 후 망명 정도 맞고요 인정 못 있는 국민 안전한 되는 되는 죽은 전신 마비 오면 개인 탓 입니다 국민 있는 나라 대한민국 있는 자유 민주주의 국가 입니다,34.42의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
확률 이라 해도 해당 안 된다는 보장 없는 덜덜 거리 백신 맞는 죽었다고 신고 해도 인과성 없는 발뺌 하는 아주 큰 문제 고,36.64의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 죽는 건 팩트 부 작용 엄청나다,33.86의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
영국 발 기사 제목 코로나 사망자 백신 접종 확 진자 수 빈 접종 많지만 사망자 수 반대 접종 배 많은 영국 보건 국 보고서,33.99의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
바안 맞는 싶지만 백신 패스 뭄 강제 접종,35.46의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인과성 나라 인정 하는 대로 수치 말 하는 당연한 백신 안전한 되는,34.67의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인과성 기준 까다로 움 솔직히 간 지병 가지 고 잘 살다가 백신 맞는 주 죽는 게 지병 탓 하기엔,33.89의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그냥 거임 내 조심해서 코로나 피 하는 죽은 후유증 앓을 수 있는 백신 맞느냐 그냥 개인 선택 자유 임 백신 강제 할 수 없는,35.31의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 마시고 걸리는 소금물 비타민 치료받는 하신,35.45의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
불확실한 백신 강요 하지 마세요,33.46의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 개인 자유 안 맞은 생각 흘러 백신 패스 도입 되는 접종 의무 화가 된다면 나중 맞은 생각 없는 백신 돈 주고 맞은 할 생각 하는 어차피 맞은 할 거 무료 맞은 싶은 가족 안 맞은 도대체 해보는 할지 막막하네,37.6의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
건강하던 사람 백신 맞는 죽었지만 다인 관계 없는 판정 나고 있는 걸 실시간 보고 있는 저걸 믿음 사람 되는,35.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
차 맞는 별 탈 없는 그냥 안 맞은 걸 생각 듭 책임지는 안 지는 데,36.69의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
건강한 사람 코로나 죽는 사람 못 백신 맛 고 죽는 사람 백혈병 걸리는 사람 수다 뒤 사망자 맛 고 안 맛 자유 코로나 해보는 되는 정말 나라 망한 게 생겨다,35.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
이제 서야 백신 공부 합니다 방식 세계 최초 라서 부작용 자체 이제 이기 시 작 합 백신 맞은 생기는 항체 혈관 주입 거 라서 코로 들어오는 코로나 바이러스 접촉 자체 어려워 마스크 쓰는 같고요 혈관 넣은 코로나 항체 몸 면역 상 반응 일으켜서 몸 전체 균형 점차 무너지는 정리 되 요점 분 맞은 마세요 코로나 자체 약화 되는 젊은 분 걸리는 죽는 않으세요 백신 맞는 부작용 무서운 같은 주사 맞히겠다는 생각 두려울 뿐입니다 집단 멱역 아닌 집단 공포 같은,37.18의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 분위기 조장 하지 않은 좋은 부작용 무서워 맞은 싫은 백신 거부 할 자유 러시안룰렛 똑같은 거 같은,36.35의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
주변 안 맞는 있던 참견 하지 맞은 사람 맞는 안 맞은 사람 더욱 조심한 안 맞았다니까 맞은 이러면서 견 발,34.72의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
